date,open,close,high,low,volume
03-Jan-12,4675.8,4765.3,4773.1,4675.8,82098.4
04-Jan-12,4774.95,4749.65,4782.85,4728.85,97158.32
05-Jan-12,4749,4749.95,4779.8,4730.15,94403.75
06-Jan-12,4724.15,4754.1,4794.9,4686.85,89377.8
07-Jan-12,4755.6,4746.9,4759.4,4743.05,10949.11
09-Jan-12,4747.55,4742.8,4758.7,4695.45,83764.7
10-Jan-12,4771.85,4849.55,4855.9,4768.25,110110.74
11-Jan-12,4863.15,4860.95,4877.2,4841.6,117155.91
12-Jan-12,4840.95,4831.25,4869.2,4803.9,123467.06
13-Jan-12,4861.95,4866,4898.85,4834.2,120754.68
16-Jan-12,4844,4873.9,4880.8,4827.05,94985.88
17-Jan-12,4904.5,4967.3,4975.55,4904,121801.35
18-Jan-12,4977.75,4955.8,4980.65,4931.05,121872.36
19-Jan-12,4995,5018.4,5023.8,4991.4,116337
20-Jan-12,5044.85,5048.6,5064.15,5004.3,136943.92
23-Jan-12,5025.35,5046.25,5059.55,5021.35,101550.82
24-Jan-12,5064.8,5127.35,5141.05,5049.8,142258.33
25-Jan-12,5151.5,5158.3,5174.15,5130.25,152946.08
27-Jan-12,5216.75,5204.7,5217,5162.4,137770.84
30-Jan-12,5163.55,5087.3,5166.15,5076.7,117837.52
31-Jan-12,5125.25,5199.25,5215.4,5120.15,136962.55
01-Feb-12,5198.15,5235.7,5244.6,5159,168151.6
02-Feb-12,5272.1,5269.9,5289.95,5225.75,185663.64
